hour_range,total_flights,dep_delay_count(<_30_min),total_delayed_flights(>_30_min)
0,156533,91046,65487
1,57339,30718,26621
2,17163,7771,9392
3,8844,5320,3524
4,67926,66096,1830
5,1230935,1226661,4274
6,2204510,2170524,33986
7,2112158,2037625,74533
8,2184208,2075116,109092
9,2022846,1879343,143503
10,2103988,1941070,162918
11,2113195,1921588,191607
12,2085912,1874220,211692
13,2018470,1791449,227021
14,1969065,1723981,245084
15,2073556,1804488,269068
16,1985977,1697943,288034
17,2172329,1861463,310866
18,1948667,1596287,352380
19,1909163,1549245,359918
20,1647072,1287294,359778
21,1189404,875317,314087
22,892800,660206,232594
23,353752,208859,144893
