MONTH,delay_ratio,DAY_OF_MONTH,total_flights,delayed_flight_count
1,0.1953142575551437,5,93347,18232
2,0.1574272967614012,20,96832,15244
3,0.16520466318554122,1,96329,15914
4,0.14065147447979134,3,105054,14776
5,0.14382164367592773,19,102940,14805
6,0.19329465580720742,19,107556,20790
7,0.18725681839337244,23,107430,20117
8,0.1727121250961292,1,109228,18865
9,0.11534941219822412,18,84127,9704
10,0.12911085491519783,9,84137,10863
11,0.13734332682496694,26,79385,10903
12,0.20911560813362737,27,82079,17164
